THE TANK,Tarik Cohen,RB | CHI,9
THE TANK,Odell Beckham,WR | CLE,32
THE TANK,Eric Ebron,TE | IND,3
THE TANK,T.Y. Hilton,WR | IND,15
THE TANK,Phillip Lindsay,RB | DEN,14
THE TANK,Darnell Savage,DB | GB,4
THE TANK,A.J. Green,WR | CIN,12
THE TANK,Damarious Randall,DB | CLE,2
THE TANK,Andy Dalton,QB | CIN,9
THE TANK,Jonathan Allen,DL | WAS,5
2 GURLEYS 1 KUPP,Darren Waller,TE | OAK,1
2 GURLEYS 1 KUPP,Miles Sanders,RB | PHI,8
2 GURLEYS 1 KUPP,Daniel Jones,QB | NYG,2
2 GURLEYS 1 KUPP,Ka'imi Fairbairn,K | HOU,1
2 GURLEYS 1 KUPP,Darius Leonard,LB | IND,23
2 GURLEYS 1 KUPP,Fred Warner,LB | SF,6
2 GURLEYS 1 KUPP,Vernon III Hargreaves,DB | HOU,1
2 GURLEYS 1 KUPP,Marcus Maye,DB | NYJ,1
2 GURLEYS 1 KUPP,Anthony Hitchens,LB | KC,2
2 GURLEYS 1 KUPP,Shaq Green-Thompson,LB | CAR,1
2 GURLEYS 1 KUPP,Malcolm Brown,RB | LAR,2
2 GURLEYS 1 KUPP,Nick Vigil,LB | CIN,1
2 GURLEYS 1 KUPP,Johnathan Abram,DB | OAK,1
2 GURLEYS 1 KUPP,Jaylen Samuels,RB | PIT,1
2 GURLEYS 1 KUPP,Alexander Mattison,RB | MIN,1
2 GURLEYS 1 KUPP,Ronald Darby,DB | PHI,1
2 GURLEYS 1 KUPP,Grady Jarrett,DL | ATL,1
BYE WEEK,Mason Crosby,K | GB,1
BYE WEEK,Lavonte David,LB | TB,7
BYE WEEK,Landon Collins,DB | WAS,6
BYE WEEK,Devin White,LB | TB,5
BYE WEEK,DeAndre Hopkins,WR | HOU,39
BYE WEEK,Eli Manning,QB | NYG,5
BYE WEEK,Darrell Henderson,RB | LAR,3
BYE WEEK,Peyton Barber,RB | TB,2
BYE WEEK,Marvin Jones,WR | DET,2
BYE WEEK,LeSean McCoy,RB | KC,3
BYE WEEK,Curtis Samuel,WR | CAR,2
BYE WEEK,Akiem Hicks,DL | CHI,9
BYE WEEK,Everson Griffen,DL | MIN,3
DONALDS DUCKS,Tyrann Mathieu,DB | KC,3
DONALDS DUCKS,Earl Thomas,DB | BAL,5
DONALDS DUCKS,Lamar Miller,RB | HOU,5
DONALDS DUCKS,D.J. Swearinger,DB | NO,3
DONALDS DUCKS,Vance McDonald,TE | PIT,6
DONALDS DUCKS,Kenny Moore,DB | IND,1
DONALDS DUCKS,Antoine Bethea,DB | NYG,1
DONALDS DUCKS,Justin Houston,DL | IND,12
FUCK YOU MELVIN JUST PLAY,Leonard Fournette,RB | JAC,20
FUCK YOU MELVIN JUST PLAY,Amari Cooper,WR | DAL,18
FUCK YOU MELVIN JUST PLAY,T.J. Hockenson,TE | DET,4
FUCK YOU MELVIN JUST PLAY,Melvin Gordon,RB | LAC,25
FUCK YOU MELVIN JUST PLAY,Jameis Winston,QB | TB,13
FUCK YOU MELVIN JUST PLAY,Austin Seibert,K | CLE,1
FUCK YOU MELVIN JUST PLAY,Todd Davis,LB | DEN,1
FUCK YOU MELVIN JUST PLAY,Shawn Williams,DB | CIN,4
FUCK YOU MELVIN JUST PLAY,Jaire Alexander,DB | GB,1
FUCK YOU MELVIN JUST PLAY,Jurrell Casey,DL | TEN,1
FUCK YOU MELVIN JUST PLAY,Marquez Valdes-Scantling,WR | GB,4
FUCK YOU MELVIN JUST PLAY,Melvin Ingram,DL | LAC,8
FUCK YOU MELVIN JUST PLAY,Nick Bosa,DL | SF,8
FAMOUS AMOS,Dalvin Cook,RB | MIN,25
FAMOUS AMOS,Austin Ekeler,RB | LAC,8
FAMOUS AMOS,Hunter Henry,TE | LAC,14
FAMOUS AMOS,Antonio Brown,WR | FA,27
FAMOUS AMOS,Kareem Hunt,RB | CLE,7
FAMOUS AMOS,Jake Elliott,K | PHI,1
FAMOUS AMOS,Bobby Wagner,LB | SEA,17
FAMOUS AMOS,Kevin Byard,DB | TEN,5
FAMOUS AMOS,Adrian Amos,DB | GB,1
FAMOUS AMOS,Ha Ha Clinton-Dix,DB | CHI,2
FAMOUS AMOS,Tyler Lockett,WR | SEA,12
FAMOUS AMOS,Austin Hooper,TE | ATL,2
FAMOUS AMOS,Jamaal Williams,RB | GB,1
FAMOUS AMOS,Tony Pollard,RB | DAL,1
FAMOUS AMOS,Demarcus Lawrence,DL | DAL,9
FAMOUS AMOS,Carlos Dunlap,DL | CIN,9
FLOWERS &AMP; FLOWERS,Drew Brees,QB | NO,16
FLOWERS &AMP; FLOWERS,David Johnson,RB | ARI,32
FLOWERS &AMP; FLOWERS,Chris Carson,RB | SEA,23
FLOWERS &AMP; FLOWERS,Delanie Walker,TE | TEN,3
FLOWERS &AMP; FLOWERS,Dion Lewis,RB | TEN,3
FLOWERS &AMP; FLOWERS,Russell Wilson,QB | SEA,26
FLOWERS &AMP; FLOWERS,Jason Myers,K | SEA,1
FLOWERS &AMP; FLOWERS,Tremaine Edmunds,LB | BUF,8
FLOWERS &AMP; FLOWERS,Kwon Alexander,LB | SF,4
FLOWERS &AMP; FLOWERS,Tre Flowers,DB | SEA,2
FLOWERS &AMP; FLOWERS,Philip Rivers,QB | LAC,12
FLOWERS &AMP; FLOWERS,Dwayne Haskins,QB | WAS,3
FLOWERS &AMP; FLOWERS,Latavius Murray,RB | NO,7
FLOWERS &AMP; FLOWERS,Alec Ogletree,LB | NYG,15
FLOWERS &AMP; FLOWERS,Dee Ford,DL | SF,6
FLOWERS &AMP; FLOWERS,Trey Flowers,DL | DET,6
PEACOCKS,Julio Jones,WR | ATL,30
PEACOCKS,Evan Engram,TE | NYG,8
PEACOCKS,Josh Jacobs,RB | OAK,19
PEACOCKS,Wil Lutz,K | NO,1
PEACOCKS,Blake Martinez,LB | GB,15
