Bye Week,Daniel Jones~QB,LeSean McCoy~RB,Joe Mixon~RB,D.J. Chark~WR,Robert Woods~WR,Darren Waller~TE,Marvin Jones~WR,Kyle Allen~QB,Josh Allen~DL,Cameron Jordan~DL,Lavonte David~LB,K.J. Wright~LB,Landon Collins~DB,Minkah Fitzpatrick~DB,Demario Davis~LB,Adam Vinatieri~K,Frank Gore~RB,Curtis Samuel~WR,Sammy Watkins~WR,Dante Pettis~WR,Cameron Wake~DL,Tahir Whitehead~LB,Xavier Woods~DB
Skeet Ball,Andy Dalton~QB,Saquon Barkley~RB,Ezekiel Elliott~RB,D.J. Moore~WR,Tyrell Williams~WR,Jason Witten~TE,Miles Sanders~RB,Aaron Rodgers~QB,Matthew Ioannidis~DL,Yannick Ngakoue~DL,De'Vondre Campbell~LB,Nick Vigil~LB,Jamal Adams~DB,Logan Ryan~DB,Tremaine Edmunds~LB,Justin Tucker~K,Jeff Driskel~QB,James White~RB,A.J. Brown~WR,Jimmy Graham~TE,James Conner~RB,Reshad Jones~DB
Placeholder,Kyler Murray~QB,Nick Chubb~RB,Raheem Mostert~RB,Breshad Perriman~WR,Michael Thomas~WR,Travis Kelce~TE,Mike Boone~RB,Jacoby Brissett~QB,Joey Bosa~DL,Calais Campbell~DL,Cory Littleton~LB,Taylor Rapp~DB,Tavon Wilson~DB,Donald Payne~LB,Younghoe Koo~K,Tom Brady~QB,Darius Slayton~WR,Tyler Higbee~TE,Chris Godwin~WR,Adrian Peterson~RB,Adam Thielen~WR,Maxx Crosby~DL
Team Suzy,Sam Darnold~QB,Kerryon Johnson~RB,Ronald Jones~RB,Alshon Jeffery~WR,Mark Andrews~TE,David Montgomery~RB,Baker Mayfield~QB,Everson Griffen~DL,J.J. Watt~DL,Khalil Mack~LB,T.J. Watt~LB,Derwin James~DB,Devin White~LB,Harrison Butker~K,Cam Newton~QB,Ben Roethlisberger~QB,Royce Freeman~RB,Jordan Howard~RB,David Johnson~RB,Rashaad Penny~RB,Will Dissly~TE,Myles Garrett~DL,C.J. Mosley~LB
Peacocks,Deshaun Watson~QB,Aaron Jones~RB,Dion Lewis~RB,Keenan Allen~WR,Julio Jones~WR,Jared Cook~TE,Stefon Diggs~WR,Ryan Tannehill~QB,Dante Fowler~DL,Danielle Hunter~DL,Zach Cunningham~LB,Blake Martinez~LB,Ha Ha Clinton-Dix~DB,Jordan Poyer~DB,Anthony Barr~LB,Matt Prater~K,Derrick Henry~RB,Marquise Brown~WR,Evan Engram~TE,Josh Jacobs~RB,Matt Ryan~QB,Mohamed Sanu~WR,Jadeveon Clowney~DL
Veteran Minimum,Carson Wentz~QB,Christian McCaffrey~RB,Devin Singletary~RB,Michael Gallup~WR,Christian Kirk~WR,Jacob Hollister~TE,DK Metcalf~WR,Kenyan Drake~RB,Markus Golden~DL,Cameron Heyward~DL,Eric Kendricks~LB,Matt Milano~LB,Devin McCourty~DB,Jabrill Peppers~DB,Jaylon Smith~LB,Matt Gay~K,Dwayne Haskins~QB,Randall Cobb~WR,Darren Fells~TE,Terry McLaurin~WR,Mason Rudolph~QB,Nick Williams~DL,Preston Smith~LB
2 Gurleys 1 Kupp,Josh Allen~QB,Todd Gurley~RB,Mark Ingram~RB,Davante Adams~WR,Mike Evans~WR,George Kittle~TE,John Brown~WR,Ryan Fitzpatrick~QB,Carlos Dunlap~DL,Grady Jarrett~DL,Shaquil Barrett~LB,Darius Leonard~LB,Donte Jackson~DB,Denzel Ward~DB,Fred Warner~LB,Joey Slye~K,Gardner Minshew~QB,Marlon Mack~RB,Golden Tate~WR,Philip Rivers~QB,Sam Hubbard~DL,Leighton Vander Esch~LB,Jalen Ramsey~DB
The Tank,Derek Carr~QB,Phillip Lindsay~RB,Sony Michel~RB,Odell Beckham~WR,Courtland Sutton~WR,Eric Ebron~TE,Will Fuller~WR,Drew Lock~QB,Jonathan Allen~DL,DeForest Buckner~DL,Jerome Baker~LB,Deion Jones~LB,Jessie Bates~DB,Kareem Jackson~DB,Chris Jones~DL,Brett Maher~K,Tarik Cohen~RB,T.Y. Hilton~WR,Jaylen Samuels~RB,Brandin Cooks~WR,Harold Landry~LB,Harrison Smith~DB,Danny Trevathan~LB
Famous Amos,Lamar Jackson~QB,Dalvin Cook~RB,Austin Ekeler~RB,Cooper Kupp~WR,Tyler Lockett~WR,Hunter Henry~TE,Deebo Samuel~WR,Jared Goff~QB,Melvin Ingram~DL,DeMarcus Lawrence~DL,Jamie Collins~LB,Bobby Wagner~LB,Adrian Amos~DB,Marcus Peters~DB,Thomas Davis~LB,Mason Crosby~K,N'Keal Harry~WR,Mike Williams~WR,Austin Hooper~TE,Kareem Hunt~RB,Emmanuel Sanders~WR,Kirk Cousins~QB,Arik Armstead~DL
Donalds Ducks,Dak Prescott~QB,Le'Veon Bell~RB,Devonta Freeman~RB,Tyreek Hill~WR,Allen Robinson~WR,Zach Ertz~TE,Kenny Golladay~WR,Jimmy Garoppolo~QB,Aaron Donald~DL,Justin Houston~DL,Jordan Hicks~LB,Joe Schobert~LB,Kenny Moore~DB,Eric Reid~DB,Chandler Jones~LB,Greg Zuerlein~K,Derrius Guice~RB,Jamaal Williams~RB,Rob Gronkowski~TE,Jamison Crowder~WR,Matthew Stafford~QB,Kyle Fuller~DB,Antoine Bethea~DB
Flowers & Flowers,Russell Wilson~QB,Chris Carson~RB,Benny Snell~RB,Julian Edelman~WR,DeAndre Hopkins~WR,Greg Olsen~TE,Latavius Murray~RB,Drew Brees~QB,Frank Clark~DL,Brandon Graham~DL,Matt Judon~LB,Alec Ogletree~LB,Budda Baker~DB,Tre Flowers~DB,Bradley McDougald~DB,Jason Myers~K,Tyler Boyd~WR,JuJu Smith-Schuster~WR,Alexander Mattison~RB,Trey Flowers~DL,Preston Brown~LB,Dee Ford~DL
