Team Suzy,Christian McCaffrey,RB,Dropped
Team Suzy,Jerick McKinnon,RB,Won at $0
Team Suzy,Jatavis Brown,LB,Dropped
Team Suzy,Keanu Neal,DB,Won at $0
Team Suzy,Jamaal Williams,RB,Dropped
Team Suzy,Elijah McGuire,RB,Won at $0
Team Suzy,Leonard Fournette,RB,Dropped
Team Suzy,Clayton Geathers,DB,Won at $0
Team Suzy,Donte Jackson,DB,Dropped
Team Suzy,Eddie Jackson,DB,Won at $0
Team Suzy,DeAndre Hopkins,WR,Dropped
Team Suzy,Robby Anderson,WR,Won at $0
Team Suzy,Elijah McGuire,RB,Dropped
Team Suzy,Chris Jones,DL,Won at $0
Team Suzy,Clayton Geathers,DB,Dropped
Team Suzy,Justin Reid,DB,Won at $0
Team Suzy,Ian Thomas,TE,Dropped
Team Suzy,Chris Herndon,TE,Won at $0
Veteran Minimum,Duke Johnson,RB,Dropped
Veteran Minimum,O.J. Howard,TE,Won at $1
Veteran Minimum,Jeff Heuerman,TE,Dropped
Veteran Minimum,Derrius Guice,RB,Won at $2
SKEET BALL,Austin Hooper,TE,Dropped
SKEET BALL,Troymaine Pope,RB,Won at $4
Team Suzy,Damontae Kazee,DB,Dropped
Team Suzy,Jamaal Williams,RB,Won at $13
Veteran Minimum,Tre'Quan Smith,WR,Dropped
Veteran Minimum,Greg Olsen,TE,Won at $0
Team Suzy,Eddie Jackson,DB,Dropped
Team Suzy,Damontae Kazee,DB,Won at $0
Team Suzy,Dion Lewis,RB,Dropped
Team Suzy,Eddie Jackson,DB,Won at $0
Team Suzy,Derrius Guice,RB,Dropped
Team Suzy,Elijah McGuire,RB,Won at $5
Team Suzy,Vance McDonald,TE,Dropped
Team Suzy,Ian Thomas,TE,Won at $0
Team Suzy,Damontae Kazee,DB,Dropped
Team Suzy,Donte Jackson,DB,Won at $0
2 Gurleys 1 Kupp,Jeff Wilson,RB,Dropped
2 Gurleys 1 Kupp,Nick Foles,QB,Won at $0
FUCK YOU LEVEON JUST PLAY,Ezekiel Ansah,DL,Dropped
FUCK YOU LEVEON JUST PLAY,Carl Nassib,DL,Won at $0
FUCK YOU LEVEON JUST PLAY,Frank Gore,RB,Dropped
FUCK YOU LEVEON JUST PLAY,Damien Williams,RB,Won at $2
SKEET BALL,Mohamed Sanu,WR,Dropped
SKEET BALL,Mario Addison,DL,Won at $0
Placeholder,Karl Joseph,DB,Dropped
Placeholder,Marshon Lattimore,DB,Won at $0
Placeholder,Graham Gano,K,Dropped
Placeholder,Chris Boswell,K,Won at $0
SKEET BALL,John Brown,WR,Dropped
SKEET BALL,Dante Pettis,WR,Won at $4
Team Suzy,Jeff Driskel,QB,Dropped
Team Suzy,Derrius Guice,RB,Won at $4
SKEET BALL,Denico Autry,DL,Won at $4
2 Gurleys 1 Kupp,Eric Berry,DB,Dropped
2 Gurleys 1 Kupp,A.J. Green,WR,Won at $11
Team Suzy,Greg Olsen,TE,Dropped
Team Suzy,Vance McDonald,TE,Won at $4
Team Suzy,Mason Foster,LB,Dropped
Team Suzy,Jaylon Smith,LB,Won at $4
2 Gurleys 1 Kupp,Jeff Wilson,RB,Won at $20
FUCK YOU LEVEON JUST PLAY,Jared Cook,TE,Won at $30
FUCK YOU LEVEON JUST PLAY,Jaylen Samuels,RB,Won at $60
FUCK YOU LEVEON JUST PLAY,A.J. Green,WR,Dropped
2 Gurleys 1 Kupp,Malcolm Brown,RB,Dropped
SKEET BALL,Mario Addison,DL,Dropped
2 Gurleys 1 Kupp,Matt Prater,K,Dropped
2 Gurleys 1 Kupp,Ka'imi Fairbairn,K,Won at $0
Placeholder,Theo Riddick,RB,Dropped
Placeholder,Chase Daniel,QB,Won at $0
2 Gurleys 1 Kupp,Nick Mullens,QB,Dropped
2 Gurleys 1 Kupp,Andy Dalton,QB,Won at $0
Odell Beckham Jesus,Damon Harrison,DL,Won at $0
2 Gurleys 1 Kupp,Adam Humphries,WR,Dropped
2 Gurleys 1 Kupp,Eric Berry,DB,Won at $0
Odell Beckham Jesus,Zach Cunningham,LB,Won at $7
Placeholder,Donte Jackson,DB,Dropped
Placeholder,Karl Joseph,DB,Won at $0
Peacocks,Chris Boswell,K,Dropped
Peacocks,Sebastian Janikowski,K,Won at $0
2 Gurleys 1 Kupp,Elijah McGuire,RB,Dropped
2 Gurleys 1 Kupp,Adam Humphries,WR,Won at $0
It's Complicated,Ka'imi Fairbairn,K,Dropped
It's Complicated,T.J. McDonald,DB,Won at $1
FUCK YOU LEVEON JUST PLAY,Anthony Miller,WR,Dropped
FUCK YOU LEVEON JUST PLAY,Justin Jackson,RB,Won at $3
SKEET BALL,Daryl Worley,DB,Dropped
SKEET BALL,Isaiah Johnson,DB,Won at $4
Placeholder,Colt McCoy,QB,Dropped
Placeholder,Nyheim Hines,RB,Won at $10
Placeholder,Marquise Goodwin,WR,Dropped
Placeholder,Carlos Hyde,RB,Won at $15
Team Suzy,Matt Bryant,K,Dropped
Team Suzy,Jeff Driskel,QB,Won at $35
FUCK YOU LEVEON JUST PLAY,Jack Doyle,TE,Dropped
Odell Beckham Jesus,Kareem Jackson,DB,Dropped
Odell Beckham Jesus,Andy Dalton,QB,Dropped
Odell Beckham Jesus,Maurice Hurst,DL,Dropped
Placeholder,Jared Cook,TE,Dropped
Placeholder,Kyle Van Noy,LB,Won at $0
Odell Beckham Jesus,Josh Allen,QB,Won at $2
It's Complicated,Eric Weddle,DB,Dropped
It's Complicated,Ka'imi Fairbairn,K,Won at $1
The Tank,K.J. Wright,LB,Dropped
The Tank,Kenny Stills,WR,Won at $2
Odell Beckham Jesus,A.J. Bouye,DB,Dropped
