Donalds Ducks,Jarrad Davis,Dropped
Donalds Ducks,Rob Gronkowski,Won at $0
Peacocks,Vonn Bell,Dropped
Peacocks,Dion Lewis,Won at $0
Placeholder,Maxx Crosby,Won at $0
Placeholder,Trayvon Mullen,Dropped
Placeholder,Taylor Rapp,Won at $0
Placeholder,Nick Kwiatkoski,Dropped
Placeholder,Donald Payne,Won at $0
Famous Amos,Bo Scarbrough,Dropped
Famous Amos,N'Keal Harry,Won at $0
Team Suzy,Tracy Walker,Dropped
Team Suzy,Jordan Howard,Won at $4
Placeholder,Tyler Higbee,Won at $0
Team Suzy,Shawn Williams,Dropped
Team Suzy,David Johnson,Won at $4
Placeholder,Duke Johnson,Dropped
Placeholder,Robbie Gould,Dropped
Placeholder,Younghoe Koo,Won at $0
Placeholder,Jordan Howard,Dropped
Placeholder,Mike Boone,Won at $12
Placeholder,DeAndre Washington,Dropped
Placeholder,Breshad Perriman,Won at $15
Placeholder,Younghoe Koo,Dropped
Placeholder,Robbie Gould,Won at $0
Placeholder,Erik Harris,Dropped
Placeholder,Trayvon Mullen,Won at $0
Placeholder,Trae Waynes,Dropped
Placeholder,Erik Harris,Won at $0
Placeholder,Jayon Brown,Dropped
Placeholder,DeAndre Washington,Won at $0
Placeholder,Taylor Rapp,Dropped
Placeholder,Nick Kwiatkoski,Won at $0
Placeholder,Rashaan Evans,Dropped
Placeholder,Tavon Wilson,Won at $2
2 Gurleys 1 Kupp,Gerald Everett,Dropped
2 Gurleys 1 Kupp,Carlos Dunlap,Won at $0
Team Suzy,Carlos Hyde,Dropped
Team Suzy,Devin White,Won at $0
Placeholder,Jonathan Williams,Dropped
Team Suzy,Nick Foles,Dropped
Team Suzy,Myles Garrett,Won at $0
2 Gurleys 1 Kupp,Ryan Finley,Dropped
2 Gurleys 1 Kupp,Gardner Minshew,Won at $7
Placeholder,Darrel Williams,Dropped
Placeholder,Raheem Mostert,Won at $61
Flowers &amp; Flowers,David Johnson,Dropped
Flowers &amp; Flowers,Benny Snell,Won at $0
Team Suzy,Jason Pierre-Paul,Dropped
Team Suzy,Everson Griffen,Won at $0
Flowers &amp; Flowers,Matt Moore,Dropped
Flowers &amp; Flowers,Mark Walton,Dropped
Flowers &amp; Flowers,Frank Clark,Won at $0
Flowers &amp; Flowers,Kwon Alexander,Dropped
Flowers &amp; Flowers,Matt Judon,Won at $0
Flowers &amp; Flowers,Myles Garrett,Dropped
Flowers &amp; Flowers,Brandon Graham,Won at $0
The Tank,Brandon Allen,Dropped
The Tank,Drew Lock,Won at $0
Placeholder,Kalen Ballage,Dropped
Placeholder,Darrel Williams,Won at $0
Placeholder,Dallas Goedert,Dropped
Placeholder,Jayon Brown,Won at $0
Placeholder,Ronald Darby,Dropped
Placeholder,Trae Waynes,Won at $0
Famous Amos,Nick Folk,Dropped
Famous Amos,Mason Crosby,Won at $0
Placeholder,Brandon Graham,Dropped
Placeholder,Jonathan Williams,Won at $20
FUCK YOU MELVIN JUST PLAY,Frank Clark,Dropped
FUCK YOU MELVIN JUST PLAY,Jack Doyle,Won at $0
Donalds Ducks,Brian Hill,Dropped
Donalds Ducks,Kenny Moore,Won at $1
SKEET BALL,Zach Pascal,Dropped
SKEET BALL,Andy Dalton,Won at $20
FUCK YOU MELVIN JUST PLAY,Shaq Green-Thompson,Dropped
FUCK YOU MELVIN JUST PLAY,Christian Wilkins,Won at $0
Placeholder,Daniel Carlson,Dropped
Placeholder,Younghoe Koo,Won at $0
Placeholder,Mecole Hardman,Dropped
Placeholder,Brandon Graham,Won at $0
Donalds Ducks,Neville Hewitt,Dropped
Donalds Ducks,Jarrad Davis,Won at $0
The Tank,A.J. Green,Dropped
The Tank,Harold Landry,Won at $0
Famous Amos,Von Miller,Dropped
Famous Amos,Arik Armstead,Won at $0
Placeholder,Mecole Hardman,Won at $0
Famous Amos,Erik Harris,Dropped
Famous Amos,Deebo Samuel,Won at $0
Placeholder,A.J. Johnson,Dropped
Placeholder,Dallas Goedert,Won at $3
Placeholder,Kenny Stills,Dropped
